Time(s),Longitude(deg),Latitude(deg),Altitude(m),NorthVelocity(m/s),UpVelocity(m/s),EastVelocity(m/s),GForce,Pitch(deg),Roll(deg),Yaw(deg),AircraftType
1.700000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.710000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.720000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.730000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.740000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.750000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.760000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.770000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.780000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.790000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.800000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.810000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.820000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.830000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.840000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.850000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.860000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.870000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.880000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.890000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.900000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.910000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.920000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.930000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.940000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.950000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.960000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.970000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.980000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
1.990000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
2.000000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
2.010000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
2.020000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
2.030000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
2.040000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
2.050000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
2.060000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
2.070000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
2.080000,125.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
