Time(s),Longitude(deg),Latitude(deg),Altitude(m),NorthVelocity(m/s),UpVelocity(m/s),EastVelocity(m/s),GForce,Pitch(deg),Roll(deg),Yaw(deg),AircraftType
0.000000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.010000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.020000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.030000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.040000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.050000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.060000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.070000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.080000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.090000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.100000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.110000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.120000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.130000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.140000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.150000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.160000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.170000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.180000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.190000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.200000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.210000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.220000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
0.230000,120.000000,30.000000,10000.000000,350.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,F-22
